# Blocker_scaling_factor,Reimers_scaling_factor,Final_CO_WD_Mass
5.203868092450000121e-02,5.814312261849999830e-01,5.375252500267035938e-01
1.142559494219999930e-02,5.938680321689999708e-01,5.521734331856527067e-01
7.533478151979999815e-02,7.010199959139999937e-01,5.273755460849673948e-01
8.451521316679999618e-02,8.915774860720000472e-01,4.817107146373759141e-01
3.777374011149999683e-02,8.914070365509999538e-01,4.823229015529595376e-01
9.923427533230000375e-02,8.486124761900000202e-01,5.027560309586328602e-01
8.479493723469999633e-02,4.886576936129999882e-01,5.396435083268117383e-01
7.476498505539999617e-02,3.879130547710000210e-01,5.456836109272048541e-01
7.767686468640000452e-02,6.690005015509999931e-01,5.288285805591416144e-01
7.000058205020000257e-02,7.707635626800000139e-01,5.206654045649662388e-01
7.877397879189999841e-02,5.897738992979999484e-01,5.354872547665388005e-01
5.618452540680000246e-02,6.266834116380000097e-01,5.365686373747938775e-01
5.796020952110000207e-02,7.957735505259999620e-01,5.175332177498225272e-01
4.301385571530000340e-02,8.069088651860000239e-01,5.173759464182098311e-01
5.387098182229999727e-02,5.356176865409999488e-01,5.405834825714952441e-01
6.916790310489999427e-02,5.186563704059999891e-01,5.399201424380873915e-01
9.344561136380000188e-02,3.285081703939999875e-01,5.455258949335360930e-01
9.700217372290000084e-02,4.398476097740000035e-01,5.391892115706361510e-01
9.452712696300000217e-02,4.924364657449999960e-01,5.393207355007221260e-01
4.265542242650000038e-02,8.988126038060000322e-01,4.781381084940534154e-01
2.009213511970000046e-02,5.921435194959999704e-01,5.454899168505087381e-01
2.171696781429999917e-02,3.461308110649999881e-01,5.601805251427248722e-01
4.055097126340000135e-02,4.222221325109999923e-01,5.497151834937401560e-01
3.315733307390000134e-02,3.303191578990000155e-01,5.548371389679275234e-01
4.755928278240000029e-02,8.274262255369999597e-01,5.111127883351771484e-01
7.668740999129999847e-02,7.163058608839999453e-01,5.262108199410071574e-01
3.586801334109999961e-02,4.760683225230000204e-01,5.471898150344500777e-01
7.594822068230000500e-02,6.591687734269999766e-01,5.299988769231465113e-01
6.286318927030000447e-02,6.022482519890000052e-01,5.367647320111784692e-01
6.735796091930000562e-02,7.694970255549999916e-01,5.208468503528078664e-01
5.926584806560000057e-02,8.748179085870000371e-01,4.925071033976952117e-01
4.612504796729999940e-02,7.234433395839999781e-01,5.289379472888176004e-01
8.914665777859999418e-02,5.507652877140000180e-01,5.372071020170808842e-01
6.471441527809999872e-02,8.229245747969999858e-01,5.114849444830932290e-01
6.159600876679999920e-02,5.404210747669999648e-01,5.404325242788529104e-01
2.422858162650000022e-02,6.392286278829999446e-01,5.417540304949588492e-01
7.386500778420000690e-02,5.329934279600000435e-01,5.382508679207811397e-01
1.220817303520000015e-02,5.511799603789999669e-01,5.550766755249832984e-01
2.349033370850000038e-02,4.676699886540000017e-01,5.529237936106587981e-01
8.574707562790000182e-02,4.687067458859999758e-01,5.408686899243059232e-01
6.614558056340000269e-02,6.473859681339999561e-01,5.331767377402717445e-01
3.828148001929999877e-02,8.022213085370000218e-01,5.180093468098257992e-01
6.302704780130000128e-02,3.421847708899999896e-01,5.488509968994815802e-01
7.594808196539999667e-02,6.034162491200000256e-01,5.349853180928824115e-01
