Blocker_scaling_factor  Reimers_scaling_factor  status  index
0.0504468094286 0.776590212615 success 0
0.047400017133 0.593677910619 error 1
0.0869179357081 0.813142683082 success 2
0.0835677658731 0.384146965941 error 3
0.073210920303 0.8319841095 success 4
0.0305885460859 0.80830188893 success 5
0.0954761091967 0.427257930375 success 6
0.073437157556 0.756995084263 success 7
0.0146214814319 0.803002540468 success 8
0.0422413897843 0.622622621263 success 9
0.0155296616016 0.725903613776 success 10
0.0931230720588 0.829177035065 success 11
0.0739193630909 0.494239268883 success 12
0.0249596579957 0.48205119966 success 13
0.0243820807514 0.867537987645 success 14
0.0325584931605 0.733822950179 success 15
0.0407337961941 0.684026546614 success 16
0.0622822950038 0.693823814629 error 17
0.0738185712255 0.312922833136 success 18
0.098764262923 0.755574981316 success 19
0.0250707780218 0.314277382 success 20
0.0675425895503 0.805631606289 success 21
0.0451200271978 0.899743034917 success 22
0.0966866787378 0.3849133701 success 23
0.0956406182635 0.356362372684 error 24
0.078191822926 0.445800132402 error 25
0.0638894160549 0.604267580445 success 26
0.0326742929245 0.861921924023 success 27
0.0938581386749 0.651602964024 success 28
0.0130751554553 0.781165928735 error 29
0.0510440484948 0.4135266762 success 30
0.0812322903461 0.674126888939 success 31
0.0867087975289 0.833396125956 success 32
0.0919486129097 0.798734973179 success 33
0.0660413534238 0.693253126062 success 34
0.0816681140803 0.393010047923 error 35
0.0575973375943 0.761539197219 success 36
0.0758221512584 0.882396403227 success 37
0.0837683635996 0.378240300434 error 38
0.0622452816949 0.857949995311 success 39
0.0689038857076 0.614546885765 success 40
0.0579865976117 0.589845283615 success 41
0.0276952239045 0.478635134213 error 42
0.0579246743679 0.364970809771 success 43
0.0978378478614 0.412796166357 success 44
0.0784605491892 0.422220881049 success 45
0.0321483549462 0.605919356196 error 46
0.0148353951155 0.337897033263 error 47
0.0871469682745 0.730523432585 success 48
0.0344251500309 0.631562711809 success 49
0.0909776845077 0.372078946951 success 50
0.0556438960704 0.795699566426 success 51
0.0533543098314 0.487440905391 success 52
0.0938914931676 0.308767505506 success 53
0.0978692587126 0.507894147807 success 54
0.0523169242831 0.634527460331 success 55
0.0419608726634 0.556103403542 success 56
0.054296729671 0.412772750121 error 57
0.0506651199975 0.691653143355 success 58
0.0402764604071 0.823009451958 error 59
0.0884248335338 0.344511553993 error 60
0.0592244545137 0.444083160012 error 61
0.0570041669349 0.420738489125 success 62
0.0527233825252 0.436779241161 success 63
0.0562014348168 0.775247983984 success 64
0.0317163645339 0.845357754861 success 65
0.0599432117535 0.36061417062 success 66
0.0487484315585 0.373907384015 success 67
0.0696767974703 0.416182446698 success 68
0.0646017647242 0.563601295145 success 69
0.0864758258312 0.334153856918 success 70
0.0587812138872 0.460215226277 success 71
0.0277332385826 0.40791557089 success 72
0.0150459807086 0.640338815393 success 73
0.0148472758268 0.817728509868 success 74
0.0473205909176 0.356242035008 success 75
0.0794207318754 0.398481656558 success 76
0.0207436167856 0.610035515681 error 77
0.0204414312524 0.59920403137 success 78
0.06626355693 0.327338898132 success 79
0.0281607676317 0.564673442545 success 80
0.08777773018 0.839164473761 success 81
0.0789949876032 0.846043592259 success 82
0.0592395167218 0.667488529585 success 83
0.0520386809245 0.581431226185 success 84
0.0114255949422 0.593868032169 success 85
0.0753347815198 0.701019995914 success 86
0.0845152131668 0.891577486072 success 87
0.0377737401115 0.891407036551 success 88
0.0992342753323 0.84861247619 success 89
