Blocker_scaling_factor  Reimers_scaling_factor  star_mass  index
0.0504468094286 0.776590212615 0.5217301627550198 0
0.0869179357081 0.813142683082 0.5121676555526212 2
0.073210920303 0.8319841095 0.5085238298130271 4
0.0305885460859 0.80830188893 0.5182883188285278 5
0.0954761091967 0.427257930375 0.5415311583829743 6
0.073437157556 0.756995084263 0.522769380140811 7
0.0146214814319 0.803002540468 0.5218773054299813 8
0.0422413897843 0.622622621263 0.5363847712895672 9
0.0155296616016 0.725903613776 0.5359666577026221 10
0.0931230720588 0.829177035065 0.5079754777420169 11
0.0739193630909 0.494239268883 0.5407355926072288 12
0.0249596579957 0.48205119966 0.5514491476915407 13
0.0243820807514 0.867537987645 0.49776363948266544 14
0.0325584931605 0.733822950179 0.5298428405549267 15
0.0407337961941 0.684026546614 0.5338932774558892 16
0.0738185712255 0.312922833136 0.5467796534578815 18
0.098764262923 0.755574981316 0.5210022932639345 19
0.0250707780218 0.314277382 0.558637984512077 20
0.0675425895503 0.805631606289 0.5151093714518161 21
0.0451200271978 0.899743034917 0.4753850512013346 22
0.0966866787378 0.3849133701 0.542785268206221 23
0.0638894160549 0.604267580445 0.5374964374474501 26
0.0326742929245 0.861921924023 0.5009001177821992 27
0.0938581386749 0.651602964024 0.5307923292177088 28
0.0510440484948 0.4135266762 0.5472385087928525 30
0.0812322903461 0.674126888939 0.5295960426160772 31
0.0867087975289 0.833396125956 0.5071461143184658 32
0.0919486129097 0.798734973179 0.5150775886737599 33
0.0660413534238 0.693253126062 0.5289335196722562 34
0.0575973375943 0.761539197219 0.5229265063606723 36
0.0758221512584 0.882396403227 0.4865632418250891 37
0.0622452816949 0.857949995311 0.5016527152527624 39
0.0689038857076 0.614546885765 0.5350145486145939 40
0.0579865976117 0.589845283615 0.5380120717059598 41
0.0579246743679 0.364970809771 0.5490133213051311 43
0.0978378478614 0.412796166357 0.542744941989097 44
0.0784605491892 0.422220881049 0.5447619670600241 45
0.0871469682745 0.730523432585 0.5252961292936071 48
0.0344251500309 0.631562711809 0.5390588191536856 49
0.0909776845077 0.372078946951 0.5430170018804095 50
0.0556438960704 0.795699566426 0.5176284077167019 51
0.0533543098314 0.487440905391 0.5422622670077679 52
0.0938914931676 0.308767505506 0.5465738541243315 53
0.0978692587126 0.507894147807 0.5392781482666523 54
0.0523169242831 0.634527460331 0.5361110317482632 55
0.0419608726634 0.556103403542 0.5425631413927979 56
0.0506651199975 0.691653143355 0.5314416378848886 58
0.0570041669349 0.420738489125 0.5455960594522994 62
0.0527233825252 0.436779241161 0.5470128472330406 63
0.0562014348168 0.775247983984 0.5215685555618526 64
0.0317163645339 0.845357754861 0.5076179179539705 65
0.0599432117535 0.36061417062 0.5481005023713483 66
0.0487484315585 0.373907384015 0.5489674850875509 67
0.0696767974703 0.416182446698 0.5432131201400139 68
0.0646017647242 0.563601295145 0.5381721745164121 69
0.0864758258312 0.334153856918 0.5443668257652213 70
0.0587812138872 0.460215226277 0.5421145672129898 71
0.0277332385826 0.40791557089 0.5527792736209921 72
0.0150459807086 0.640338815393 0.5448206333123892 73
0.0148472758268 0.817728509868 0.5174822703345975 74
0.0473205909176 0.356242035008 0.5505444392346357 75
0.0794207318754 0.398481656558 0.5431894107819414 76
0.0204414312524 0.59920403137 0.5439051922207748 78
0.06626355693 0.327338898132 0.5489622105715232 79
0.0281607676317 0.564673442545 0.5449546885913582 80
0.08777773018 0.839164473761 0.505488610490482 81
0.0789949876032 0.846043592259 0.5045620311723341 82
0.0592395167218 0.667488529585 0.5323211181076373 83
0.0520386809245 0.581431226185 0.5375252500267036 84
0.0114255949422 0.593868032169 0.5521734331856527 85
0.0753347815198 0.701019995914 0.5273755460849674 86
0.0845152131668 0.891577486072 0.4817107146373759 87
0.0377737401115 0.891407036551 0.48232290155295954 88
