Blocker_scaling_factor  Reimers_scaling_factor  star_mass  index
0.04 0.441038465029 0.548913951565217 0
0.0160194648101 0.7 0.538584085592275 2
0.01 0.428779257156 0.566644812973045 3
0.029320990553 0.3 0.5569922031388624 5
0.01 0.448600925966 0.5651860156694303 6
0.0119296369479 0.7 0.5405070663991016 7
0.0255576379195 0.7 0.5338475645192942 8
0.0252166037507 0.3 0.560512791249525 9
0.0177559401035 0.7 0.5374759346216359 10
0.01 0.509903327329 0.5604944287581719 11
0.01 0.548829463742 0.5576740049214176 13
0.04 0.424167660992 0.547967317679692 14
0.01 0.616754779027 0.5524657570300024 15
0.04 0.543523084228 0.5426426119752772 16
0.0227760460164 0.7 0.5361201198965013 17
0.01 0.508743438265 0.5603849146025128 18
0.01 0.516225596675 0.5603177181499492 19
0.0290051707922 0.3 0.5581606357552602 20
0.0335423249174 0.3 0.5556804705069968 21
0.0275675991643 0.7 0.5337213896101594 22
0.0176764508042 0.7 0.5384281405297013 23
0.035367897607 0.7 0.5332212099514871 24
0.01 0.405274358638 0.5681294328829989 25
0.0248728074933 0.3 0.5607697063757529 26
0.0183097007268 0.3 0.5646295868339403 28
0.0258011951954 0.7 0.534485571827389 29
0.04 0.336885044375 0.5524358777853554 30
0.04 0.642514986011 0.5358865263465324 31
0.04 0.517047775639 0.54460410905732 32
0.04 0.609769397838 0.5379178653398952 33
0.04 0.58919281148 0.5409979222050778 34
0.01 0.504021548591 0.5607343040387379 35
0.0296740631485 0.7 0.5332119349598146 37
0.01 0.602553938994 0.5532833728718283 38
0.04 0.518953070892 0.5440708617922231 40
0.01 0.382206356922 0.5693343627090007 41
0.04 0.520717987492 0.5451947647838301 42
0.0111464570913 0.7 0.5421289257546377 43
0.01 0.411581421862 0.5675282319195708 44
0.01 0.386402286668 0.5690642691269576 45
0.0150457002392 0.3 0.5674367052570269 46
0.04 0.358940618712 0.5520970542898603 47
0.0178864827558 0.3 0.5647251220750212 48
0.0166402522099 0.7 0.5388442843061282 49
0.01 0.609796685225 0.5526281152047325 50
0.01 0.526305215681 0.5592683565570749 51
0.0258350606588 0.7 0.5357111843391426 53
0.019935500741 0.7 0.5367976831695008 54
0.0261579268953 0.3 0.5588868402512852 55
0.0102400535249 0.3 0.574055444707412 57
0.0235215795669 0.3 0.5609439883911497 58
0.01 0.376817384916 0.569917977168901 59
