# ENSEMBLE SAMPLING ELLIPTIC OPTIMIZATION LOG
# SUCCESS!
# NUMBER OF POINTS PER SAMPLE = 6
number samples, inner min ave, inner min std, inner max ave, inner max std, outer min ave, outer min std, outer max ave, outer max std
1, 0.5012484582411644, 0, 0.5877165576910451, 0, 0.47163625107326423, 0, 0.605794163673119, 0
2, 0.5024515623231609, 0.001203104081996531, 0.5753282057627831, 0.012388351928262098, 0.475065127111772, 0.0034288760385077777, 0.5882928969071712, 0.01750126676594782
3, 0.5031597383465565, 0.0014028540604671597, 0.5676909618830462, 0.01479760669239482, 0.4770150899524633, 0.003929737576283626, 0.5777269039091196, 0.020675508256832127
4, 0.5033002752278465, 0.0012390526547467887, 0.5663167483181659, 0.013034272577816109, 0.47743032281091813, 0.0034784167438740394, 0.5757360798073752, 0.0182345173522912
5, 0.5034221293914947, 0.0011347224038422987, 0.5650721322908474, 0.011920993479072078, 0.4777802821876193, 0.003188948525237568, 0.5739653919090362, 0.01668950092094142
6, 0.49714635868025686, 0.014071229010939362, 0.56197107639533, 0.012903790513217994, 0.4692844766160103, 0.01921895042573232, 0.5727360740896743, 0.01548135369824262
7, 0.4981427644102338, 0.013254085834599447, 0.5613597493586817, 0.012040070769696192, 0.4707782624046818, 0.018165614944028137, 0.5714335427910434, 0.014683764410808507
8, 0.4988730710189829, 0.01254772396080426, 0.5610946478276702, 0.01128427414032883, 0.47185368140588924, 0.017228945200010573, 0.5707189802624506, 0.013864902356814228
9, 0.49946076243048015, 0.011946317232719592, 0.5606642886002068, 0.010708323842530064, 0.47274203510914464, 0.016436790803932115, 0.5698594682131002, 0.013296093529247184
10, 0.49998234595488444, 0.01144078188930572, 0.5597211197470744, 0.010545496049713337, 0.4735846279367548, 0.01579686509397564, 0.568378832924968, 0.013373033333271854
11, 0.4096005003231372, 0.2860205804865504, 0.5676946295731956, 0.02714528144756539, 0.34254470798482095, 0.4146582467722928, 0.5993551424877315, 0.09878207104504189
12, 0.41749773760205205, 0.2750935986406729, 0.5666246943775567, 0.026230767316520593, 0.35403114460655183, 0.39882869376525276, 0.5960600207986397, 0.09520596371213946
13, 0.4242099900783573, 0.26532220356397895, 0.5653675313365727, 0.025575212516409276, 0.36382632767492507, 0.3846816305041665, 0.5928112057602102, 0.09216066864420028
14, 0.4299011583969081, 0.25649299661501, 0.5650094804865852, 0.024678680668034757, 0.3720614567940768, 0.37187576621849794, 0.5909846617060752, 0.08905209345552735
15, 0.4348142957722872, 0.2484767427531503, 0.5649130765943985, 0.023844599098325092, 0.37914673236373897, 0.36024292121538576, 0.5896958924796558, 0.08616753037672233
16, 0.439132264809972, 0.24116710245760165, 0.564617315932564, 0.023115832562578955, 0.385397526318609, 0.34964283707653165, 0.5882775140678532, 0.08361200598782402
17, 0.4429535753194191, 0.23446522350124882, 0.5642278379469046, 0.02247970060054994, 0.39094301405387855, 0.33992788840915417, 0.5868511940702599, 0.08131595403153284
18, 0.4453360148265073, 0.22807087824290861, 0.5631324469026189, 0.0223083090097563, 0.394543748708583, 0.3306839593233333, 0.5853290662743206, 0.07927371625762732
19, 0.44828669415006617, 0.2223405975361311, 0.5643494711210549, 0.022318795848072455, 0.39862452288803835, 0.32232943973605926, 0.5862961788847783, 0.07726838821630036
20, 0.4510829350902408, 0.21705329887288585, 0.5639648154279521, 0.02181819093657932, 0.4026921782152349, 0.31466780088196233, 0.5850924994589709, 0.07549444791313982
21, 0.4536020178781034, 0.21212169887778262, 0.5637406060121759, 0.02131597037880527, 0.4063438609029645, 0.3075182618307554, 0.584170991802379, 0.07379020692085735
22, 0.45589033008029867, 0.20750981598186113, 0.5635567168382527, 0.020842924559733557, 0.4096588833121993, 0.3008317408859713, 0.5833604248194826, 0.0721892808987972
23, 0.4578006744546157, 0.20314630905936423, 0.5651890756379919, 0.021775225541196916, 0.4121700903287562, 0.29445492136301865, 0.5851714679483005, 0.07111168434462665
24, 0.4597155400264114, 0.19908098753495454, 0.5650477876934605, 0.021327514964902025, 0.4149451705374381, 0.28856224827969695, 0.5845067752888832, 0.06968737647898306
25, 0.4614547496055478, 0.19524473466145212, 0.5651634965127657, 0.02090429868557552, 0.4174366875349218, 0.28299545588880776, 0.5842362000819409, 0.06829227105262546
26, 0.4630899977580732, 0.19162772242671874, 0.5649417307260859, 0.020528319679152033, 0.41981775239230157, 0.2777551395874704, 0.5835322337389784, 0.06705852115186324
27, 0.4646248853224892, 0.18820837661015327, 0.5644970153898851, 0.020271806169162892, 0.4220764717811128, 0.2728062213956981, 0.5825597022919016, 0.06599156527518572
